FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
prisoniers|prisonier|PREHENSIO||noun||||||acc|||masc|||plur|||||||||g||p|v
prisons|prison|PREHENSIO||noun||||||acc|||masc|||plur|||||||||g||p|v
prison|prison|PREHENSIO||noun|||||||||fem|||sing|||||||||g||p|v
pristrent|prendre|PREHENDERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
prist|prendre|PREHENDERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
pris|prendre|PREHENDERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
pris|prendre|PREHENDERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
pris|prisier|PRETIUM||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
pris|prendre|PREHENDERE||verb|||||||||masc|part||plur||||||past|ind||g||p|v
pris|prix|PRETIUM||noun||||||nom|||masc|||sing|||||||||g||p|v
pris|prendre|PREHENDERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
pris|prix|PRETIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
priveement|priveement|PRIVATUS||adverb||||man|||||||||||||||||g||p|v
pri|priier|PRECARI||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
prochaine|prochain|*PROPEANUS||adjective|||||||||fem|||sing|||||||||g||p|v
professie|profecie|PROPHETIA||noun|||||||||fem|||plur|||||||||g||p|v
proia|priier|PRECARI||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
proiere|priiere|PRECARIA||noun|||||||||fem|||sing|||||||||g||p|v
proier|priier|PRECARI||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
proie|proie|PRAEDA||noun|||||||||fem|||sing|||||||||g||p|v
promesion|promissïon|PROMITTERE||noun|||||||||fem|||sing|||||||||g||p|v
prometre|prometre|PROMITTERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
promet|promettre|PROMITTERE||verb||||||||||||sing|||1||intr|pres|ind||g||p|v
prometés|prometre|PROMITTERE||verb||||||||||||plur|||2||trans|pres|ind|act|g||p|v
promise|promise|PROMITTERE||noun|||||||||fem|||sing|||||||||g||p|v
promis|promise|PROMITTERE||noun|||||||||fem|||sing|||||||||g||p|v
promis|prometre|PROMITTERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
prosiés|prisier|PRETIUM||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
prosié|prisier|PRETIUM||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
provee|prover|PROBARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
prover|prover|PROBARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
proësses|pröece|PRODE||noun|||||||||fem|||sing|||||||||g||p|v
proësse|pröece|PRODE||noun|||||||||fem|||sing|||||||||g||p|v
près_de|près|PRESSE||adposition|Adp||||||||||mwes||||||||||g||p|v
près|près|PRESSE||adposition|||||||||||||||||||||g||p|v
près|près|PRESSE||adverb||||loc|||||||||||||||||g||p|v
puepla|popler|POPULUS1||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
pueplee|popler|POPULUS1||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
pueple|pueple|POPULUS1||noun||||||nom|||masc|||plur|||||||||g||p|v
pueple|pueple|POPULUS1||noun||||||nom|||masc|||sing|||||||||g||p|v
pueplé|popler|POPULUS1||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
puet|pöoir|POSSE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
puet|pöoir|POSSE||verb|auxMod|||||||||||sing|||3|||pres|ind||g||p|v
puie|puiz|PUTEUS||noun||||||acc|||masc|||plur|||||||||g||p|v
puis_aprés|après|AD PRESSUM||adverb|Adv|||tim|||||||mwes||||||||||g||p|v
puis_qe|plus|PLUS||adverb|Adv||||||||||mwes||||||||||g||p|v
puis_qe|puis|POSTEA||adverb|SConj |||tim|||||||mwes||||||||||g||p|v
puis_qu’|plus|POSTEA||adverb|SConj |||tim|||||||mwes||||||||||g||p|v
puis_q’|plus|POSTEA||adverb|SConj |||tim|||||||mwes||||||||||g||p|v
puissant|poissant|POSSE||adjective|||||||||fem|||sing|||||||||g||p|v
puissant|poissant|POSSE||adjective||||||nom|||masc|||sing|||||||||g||p|v
puissent|pöoir|POSSE||verb|auxMod|||||||||imp||plur|||3||||fin||g||p|v
puisse|pöoir|POSSE||verb|auxMod|||||||||sub||sing|||3|||pres|fin||g||p|v
puisse|pöoir|POSSE||verb|auxMod|||||||||sub||sing|||1|||pres|fin||g||p|v
puissiés|pöoir|POSSE||verb|auxMod|||||||||sub||plur|||2|||pres|fin||g||p|v
puis|pöoir|POSSE||verb||||||||||||sing|||1||intr|pres|ind||g||p|v
puis|puis|POSTEA||adverb||||tim|||||||||||||||||g||p|v
pui|puis|POSTEA||adverb||||tim|||||||||||||||||g||p|v
pulcelles|pucele|*PULLICELLA||noun|||||||||fem|||plur|||||||||g||p|v
pulcelle|pucele|*PULLICELLA||noun|||||||||fem|||sing|||||||||g||p|v
putain|pute|PUTIDUS||noun|||||||||fem|||sing|||||||||g||p|v
qanqe|cant2|QUANTUS||pronoun||||||acc|||neut|||sing||||ind|||||g||p|v
qantité|cantité|QUANTITAS||noun|||||||||fem|||sing|||||||||g||p|v
qant|cant1|QUANDO||subordinating conjunction|||||||||||||||||||||g||p|v
qarte|cart|QUARTUS||numeral|||||||||||||ord||||||||g||p|v
qart|cart|QUARTUS||numeral|||||||||||||ord||||||||g||p|v
qatre|catre|QUATTUOR||numeral|||||||||||||card||||||||g||p|v
qel|X|X||other|||||||||||||||||||||g||p|v
qel|quel1|QUALIS||determiner||||||nom||exc|masc|||sing|||||||||g||p|v
qel|quel1|QUALIS||determiner||||||acc||exc|masc|||sing|||||||||g||p|v
qel|quel1|QUALIS||determiner||||||||int|fem|||sing|||||||||g||p|v
qerre|querre|QUAERERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
qerroie|querre|QUAERERE||verb||||||||||imp||sing|||1||trans||ind|act|g||p|v
qe|queque|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
qe|queque|QUID||determiner||||||||int|||||||||||||g||p|v
qe|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
qe|queque|QUID||pronoun||||||acc|||neut|||sing||||int|||||g||p|v
qe|queque|QUID||pronoun||||||nom||||||||||rel|||||g||p|v
qeïsse|querre|QUAERERE||verb||||||||||imp||sing|||3||trans||fin|act|g||p|v
qinte|quint|QUINTUS||numeral|||||||||||||ord||||||||g||p|v
qistrent|querre|QUAERERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
qitement|quitement|QUIETUS||adverb||||man|||||||||||||||||g||p|v
qit|quitter|QUIETUS||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
qi|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
qi|qui|QUI||pronoun||||||acc||||||||||rel|||||g||p|v
qi|qui|QUI||pronoun||||||nom||||||plur||||int|||||g||p|v
qi|qui|QUI||pronoun||||||nom||||||sing||||int|||||g||p|v
qi|qui|QUI||pronoun||||||acc||||||||||int|||||g||p|v
qi|qui|QUI||pronoun||||||nom||||||||||rel|||||g||p|v
qoie|coi1|QUIETUS||adjective|||||||||fem|||sing|||||||||g||p|v
qoi|quïet|QUIETUS||adjective||||||nom|||masc|||plur|||||||||g||p|v
qoi|coi2|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
qoqille|coquille|CONHCHYLIUM||noun|||||||||fem|||sing|||||||||g||p|v
quant|cant1|QUANDO||subordinating conjunction|||||||||||||||||||||g||p|v
quell|quel1|QUALIS||determiner||||||||int|fem|||sing|||||||||g||p|v
quel|quel1|QUALIS||determiner||||||acc||int|masc|||sing|||||||||g||p|v
quel|quel1|QUALIS||determiner||||||nom||exc|masc|||sing|||||||||g||p|v
quere|querre|QUAERERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
querre|querre|QUAERERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
que|queque|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
que|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
quitement|quitement|QUIETUS||adverb||||man|||||||||||||||||g||p|v
quit|quint|QUINTUS||numeral|||||||||||||ord||||||||g||p|v
qui|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
qui|qui|QUI||pronoun||||||nom||||||||||rel|||||g||p|v
quoi|coi2|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
qu’|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
qu’|queque|QUID||pronoun||||||nom||||||||||rel|||||g||p|v
qu’|queque|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
q’|queque|QUID||subordinating conjunction|||||||||||||||||||||g||p|v
q’|queque|QUID||pronoun||||||nom||||||||||rel|||||g||p|v
q’|queque|QUID||adverb|||||int||||||||||||||||g||p|v
q’|queque|QUID||pronoun||||||acc||||||||||rel|||||g||p|v
raconter|raconter|COMPUTARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
raconte|raconter|COMPUTARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
raenplir|räemplir|IMPLERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
raisons|raison|RATIO||noun|||||||||fem|||plur|||||||||g||p|v
raison|raison|RATIO||noun|||||||||fem|||sing|||||||||g||p|v
ralier|raliier|LIGARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
raliés|raliier|LIGARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
ramenceüe|ramentevoir|MENTE HABERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ramenceüs|ramentevoir|MENTE HABERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
ramenteüe|ramentevoir|MENTE HABERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ramentoir|ramentevoir|MENTE HABERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
ramentouvoir|ramentevoir|MENTE HABERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
ramentovoir|ramentevoir|MENTE HABERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
ramoinent|ramener|MINARE||verb||||||||||sub||plur|||3||trans|pres|fin|act|g||p|v
randon|randon|RAND||noun||||||acc|||masc|||sing|||||||||g||p|v
randue|rendre|REDDERE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
receivent|recevoir|RECIPERE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
receve|recevoir|RECIPERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
recevi|recevoir|RECIPERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
recevoir|recevoir|RECIPERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
receüe|recevoir|RECIPERE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
receürent|recevoir|RECIPERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
receüs|recevoir|RECIPERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
receüz|recevoir|RECIPERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
receüz|recevoir|RECIPERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
recoillirent|recoillir|COLLIGERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
recoillirent|recoillir|COLLIGERE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
recoillir|recoillir|COLLIGERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
recoillis|recoillir|COLLIGERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
recoillis|recoillir|COLLIGERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
recoilli|recoillir|COLLIGERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
recoilli|recoillir|COLLIGERE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
reconfortast|reconforter|CONFORTARE||verb||||||||||imp||sing|||3||||fin|rfl|g||p|v
reconforta|reconforter|CONFORTARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
reconfortee|reconforter|CONFORTARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
reconforter|reconforter|CONFORTARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
reconforte|reconforter|CONFORTARE||verb||||||||||||sing|||3|||pres|ind|rfl|g||p|v
reconfortoit|reconforter|CONFORTARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
reconforté|reconforter|CONFORTARE||verb||||||||||imp||plur|||2|||pres|fin|rfl|g||p|v
recreanment|recreanment|CREDERE||adverb||||man|||||||||||||||||g||p|v
recreant|recroire|CREDERE||verb|Adj|||||||||part||||||||pres|ind||g||p|v
recut|recevoir|RECIPERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
redoutés|redoter1|DUBITARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
referoient|refaire2|FACERE||verb||||||||||imp||plur|||3||trans||ind|act|g||p|v
refete|refaire2|FACERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
refist|refaire2|FACERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
refrener|refrener|FRENUM||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
refreschir|refreschir|FRISK||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
refusent|refuser|*REFUSARE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
regardant|regarder|*WARDôN||verb||||||||||ger|||||||trans|pres|ind|act|g||p|v
regarda|regarder|*WARDôN||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
regarderent|regarder|*WARDôN||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
regarderent|regarder|*WARDôN||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
regarder|regarder|*WARDôN||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
regarde|regarder|*WARDôN||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
regardeüre|regardëure|*WARDôN||noun|||||||||fem|||sing|||||||||g||p|v
regardoit|regarder|*WARDôN||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
regart|regart|*WARDôN||noun||||||acc|||masc|||sing|||||||||g||p|v
regions|regïon|REGIO||noun|||||||||fem|||plur|||||||||g||p|v
regretoit|regreter|GRATA||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
reignes|regne|REGNUM||noun||||||acc|||masc|||plur|||||||||g||p|v
reigne|regne|REGNUM||noun||||||acc|||masc|||sing|||||||||g||p|v
remaigne|remaindre|REMANERE||verb||||||||||sub||sing|||3||intr|pres|fin||g||p|v
remaindra|remaindre|REMANERE||verb||||||||||||sing|||3||intr|fut|ind||g||p|v
remanant|remanant|REMANERE||noun||||||acc|||masc|||sing|||||||||g||p|v
remandra|remaindre|REMANERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
remandront|remaindre|REMANERE||verb||||||||||||plur|||3||intr|fut|ind||g||p|v
remandrés|remaindre|REMANERE||verb||||||||||||plur|||2||intr|fut|ind||g||p|v
remanoit|remaindre|REMANERE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
remansist|remaindre|REMANERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
remenbrance|remembrance|REMEMORARI||noun|||||||||fem|||sing|||||||||g||p|v
remestrent|remaindre|REMANERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
remest|remaindre|REMANERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
remirer|remirer|MIRARI||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
remuer|remüer|MUTARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
rendirent|rendre|REDDERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
rendi|rendre|REDDERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
rendoie|rendre|REDDERE||verb||||||||||sub||sing|||1||trans|pres|fin|act|g||p|v
rendois|rendre|REDDERE||verb||||||||||sub||plur|||2||trans|pres|fin|act|g||p|v
rendre|rendre|REDDERE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
rendre|rendre|REDDERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
rendés|rendre|REDDERE||verb||||||||||||plur|||2||trans|pres|ind|act|g||p|v
renoiés|renoiier1|*RENEGARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
renomee|renomee|NOMINARE||noun|||||||||fem|||sing|||||||||g||p|v
rent|rendre|REDDERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
rent|renc|HRING||noun||||||acc|||masc|||sing|||||||||g||p|v
repairerent|repairier|REPATRIARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
repaire|repaire|REPATRIARE||noun||||||acc|||masc|||sing|||||||||g||p|v
repairiés|repairier|REPATRIARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
repairiés|repairier|REPATRIARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
repairoient|repairier|REPATRIARE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
repairés|repairier|REPATRIARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
repairés|repairier|REPATRIARE||verb||||||||||imp||plur|||2||intr|pres|fin||g||p|v
repareroit|repairier|REPATRIARE||verb||||||||||cnd||sing|||3||intr|pres|fin||g||p|v
reparoient|repairier|REPATRIARE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
repentira|repentir|POENITERE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
repentir|repentir|POENITERE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
replenie|replenir|PLENUS||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
reposer|reposer|REPAUSARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
repostailles|repostaille|REPONERE||noun|||||||||fem|||plur|||||||||g||p|v
repostrent|reposter (GD)|REPONERE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
repos|repos|REPAUSARE||noun||||||acc|||masc|||sing|||||||||g||p|v
reposés|reposer|REPAUSARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
repouserent|reposer|REPAUSARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
reprise|reprendre2|REPREHENDERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
reqeroit|requerre|REQUIRERE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
reqeroit|requerre|REQUIRERE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
reqerre|requerre|REQUIRERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
reqerrés|requerre|REQUIRERE||verb||||||||||||plur|||2||trans|pres|ind|act|g||p|v
reqeste|requeste|REQUIRERE||noun|||||||||fem|||sing|||||||||g||p|v
reqier|requerre|REQUIRERE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
reqise|requerre|REQUIRERE||verb|compTens||||||||fem||mwes|sing||||||past|ind||g||p|v
reqist|requerre|REQUIRERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
reqis|requerre|REQUIRERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
requeste|request|REQUIRERE||noun|||||||||fem|||sing|||||||||g||p|v
resenbloit|resembler|SIMILARE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
reseürent|recevoir|RECIPERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
responce|response|RESPONDERE||noun|||||||||fem|||sing|||||||||g||p|v
respondirent|respondre1|RESPONDERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
respondiren|respondre1|RESPONDERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
respondi|respondre1|RESPONDERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
respondus|respondre1|RESPONDERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
response|response|RESPONDERE||noun|||||||||fem|||sing|||||||||g||p|v
responsion|responsïon|RESPONDERE||noun|||||||||fem|||sing|||||||||g||p|v
respons|respons|RESPONDERE||noun||||||acc|||masc|||sing|||||||||g||p|v
respont|respondre1|RESPONDERE||verb||||||||||||sing|||1||intr|pres|ind||g||p|v
respose|response|RESPONDERE||noun|||||||||fem|||plur|||||||||g||p|v
restorer|restorer|RESTAURARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
restourer|restorer|RESTAURARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
retenir|retenir|RITENERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
retentir|retentir|TINNIRE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
retentir|retentir|TINNIRE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
retentisoit|retentir|TINNIRE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
retorna|retorner|TORNARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
retornerent|retorner|TORNARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
retornerent|retorner|TORNARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
retorneroie|retorner|TORNARE||verb||||||||||cnd||sing|||1||intr|pres|fin||g||p|v
retorner|retorner|TORNARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
retornerés|retorner|TORNARE||verb||||||||||||plur|||2||intr|fut|ind||g||p|v
retornés|retorner|TORNARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
retornés|retorner|TORNARE||verb||||||||||imp||plur|||2||intr|pres|fin||g||p|v
retornés|retorner|TORNARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
retraire|retraire|RETRAHERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
retraïst|retraire|RETRAHERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
retrere|retraire|RETRAHERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
retrest|retraire|RETRAHERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
retrova|retrover|*TROPARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
revenus|revenir|REVENIRE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
revestue|revestir|VESTIRE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
revestus|revestir|VESTIRE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
re|X|X||other|||||||||||||||||||||g||p|v
re|roi|REX||noun||||||nom|||masc|||sing|||||||||g||p|v
richement|richement|RîKI||adverb||||man|||||||||||||||||g||p|v
richesses|richece|RîKI||noun|||||||||fem|||plur|||||||||g||p|v
richesse|richece|RîKI||noun|||||||||fem|||sing|||||||||g||p|v
riches|riche|RîKI||adjective||||||nom|||masc|||plur|||||||||g||p|v
riches|riche|RîKI||adjective||||||acc|||masc|||plur|||||||||g||p|v
riches|riche|RîKI||adjective|||||||||fem|||plur|||||||||g||p|v
richez|riche|RîKI||adjective||||||acc|||masc|||plur|||||||||g||p|v
riche|riche|RîKI||adjective|||||||||fem|||plur|||||||||g||p|v
riche|riche|RîKI||adjective||||||nom|||masc|||sing|||||||||g||p|v
riche|riche|RîKI||adjective||||||acc|||masc|||sing|||||||||g||p|v
riche|riche|RîKI||adjective|||||||||fem|||sing|||||||||g||p|v
riens|rien|RES||noun|||||||||fem|||sing|||||||||g||p|v
riens|rien|RES||pronoun||||||acc|||neut|||sing||||ind|||||g||p|v
rienz|rien|RES||noun|||||||||fem|||sing|||||||||g||p|v
rienz|rien|RES||noun|||||||||fem|||plur|||||||||g||p|v
rienz|rien|RES||pronoun||||||acc|||neut|||sing||||ind|||||g||p|v
rien|rien|RES||pronoun||||||acc|||neut|||sing||||ind|||||g||p|v
rivages|rivage2|RIPA||noun||||||acc|||masc|||sing|||||||||g||p|v
rivaje|rivage2|RIPA||noun||||||acc|||masc|||sing|||||||||g||p|v
riviere|riviere|*RIPARIA||noun|||||||||fem|||sing|||||||||g||p|v
robee|rober|*RAUBôN||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
roberent|rober|*RAUBôN ||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
robés|rober|*RAUBôN ||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
roche|roche3|*ROCCA||noun|||||||||fem|||sing|||||||||g||p|v
roes|röe|ROTA||noun|||||||||fem|||plur|||||||||g||p|v
roe|röe|ROTA||noun|||||||||fem|||plur|||||||||g||p|v
roine|röine1|REGINA||noun|||||||||fem|||sing|||||||||g||p|v
rois|roi|REX||noun||||||nom|||masc|||plur|||||||||g||p|v
rois|roi|REX||noun||||||acc|||masc|||plur|||||||||g||p|v
rois|roi|REX||noun||||||nom|||masc|||sing|||||||||g||p|v
rois|roi|REX||noun||||||acc|||masc|||sing|||||||||g||p|v
roiz|roi|REX||propernoun||||||acc|||masc|||plur|||||||||g||p|v
roi|roi|REX||noun||||||acc|||masc|||sing|||||||||g||p|v
roi|roi|REX||noun||||||nom|||masc|||sing|||||||||g||p|v
romanz|romanz|ROMANICE||noun||||||acc|||masc|||sing|||||||||g||p|v
rome|Rome|||propernoun|||||||||fem|||sing|||||||||g||p|v
rot|rompre|RUMPERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
roubee|rober|*RAUBôN||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
rouberent|rober|*RAUBôN||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
rouber|rober|*RAUBôN||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
roube|robe|*RAUBA||noun|||||||||fem|||sing|||||||||g||p|v
roubés|rober|*RAUBôN||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
roubés|rober|*RAUBôN||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
roubés|rober|*RAUBôN||verb|||||||||masc|part||plur||||||past|ind||g||p|v
roubé|rober|*RAUBôN||verb|||||||||masc|part||plur||||||past|ind||g||p|v
roïne|röine1|REGINA||noun|||||||||fem|||sing|||||||||g||p|v
rubin|rubi|RUBIS||noun||||||acc|||masc|||sing|||||||||g||p|v
rues|rüe2|RUGA||noun|||||||||fem|||plur|||||||||g||p|v
ruine|rüine|RUINA||noun|||||||||fem|||sing|||||||||g||p|v
sa_et_là|ça|HAC||adverb|Adv|||loc|||||||mwes||||||||||g||p|v
saches|savoir|SAPERE||verb||||||||||sub||sing|||2||trans|pres|fin|act|g||p|v
sache|savoir|SAPERE||verb||||||||||sub||sing|||3||trans|pres|fin|act|g||p|v
sache|savoir|SAPERE||verb|auxMod|||||||||sub||sing|||3|||pres|fin||g||p|v
sachés|savoir|SAPERE||verb||||||||||sub||plur|||2||trans|pres|fin|act|g||p|v
sacrees|sacrer|SACRARE||verb|Adj||||||||fem|part||plur||||||past|ind||g||p|v
sacrefia|sacrefiier|SACRIFICARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
sacrefices|sacrefise|SACRIFICIUM||noun||||||acc|||masc|||plur|||||||||g||p|v
sacrefice|sacrefise|SACRIFICIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
